#fingerprint	count
-243622670	1
-1107969487	1
816975224	1
-1638165296	7
325309053	6
-2085278619	2
1815247283	8
518315379	103
1847596445	2
280953237	1
-1763608642	63
-1641256579	1
-590181563	2
-2140191269	3
1309707243	8
-1035012051	143
-1356600757	176
834441045	3
-1854001294	1
1189751971	1
-808278800	2
-275946697	7
-995974881	1
-1424166787	2
-1585302599	1
1957367303	2
1210288481	1
535962762	5
-2052154538	2
-1046462814	1
1127381611	1
974436226	1
-1583219416	49
1461782978	45
256338701	1
347018502	1
-967299146	1
161120834	1
580599883	3
1296418314	5
514652110	4
121173531	6
606332897	21
-1227055968	8
781012641	5
368006114	1
-1477050240	1
-1329057415	9
988896539	5
2067124508	5
1060681416	3
-1257078803	5
-1647209908	1
-1036317389	77
-251703230	1
-1827221323	2
-1157706810	1
-353961862	9
-922901722	4
-877466858	3
-480459107	4
1594867620	5
1961877996	4
1289132755	22
1001260380	3
1280790328	1
956516465	1
-402184353	1
889520378	5
-1228159385	1
-233135801	7
1025241419	2
-457562330	7
-444886747	1
-1667148809	16
-1189868348	3
-2033470444	1
1721908039	5
78859022	1
-1535986902	5
-1550273755	7
-1782362799	4
-1044926170	13
1199013290	21
-1847672172	5
-1137418120	1
315913082	12
1985612782	1
656278143	7
9804384	1
1745989519	4
-1124297866	5
-1258739281	6
-1022918522	1
-1771199261	12
905584855	12
1580784400	3
-104129243	1
-1385494362	1
499068497	3
189648047	33
282338070	1
1302485785	6
-1135413178	1
976747837	1
1889774637	1
-2004735096	5
-1283391295	1
955338901	12
1732068001	2
-457796761	1
782619853	4
-913231855	4
1060789126	1
-1196231675	4
1625392600	6
1368243414	8
-188525104	66
1600400234	7
-1936725381	30
628750565	1
1692867469	13
623052938	1
1997353437	3
-592492220	1
1882260696	2
-2039463071	2
1332493115	4
804144394	16
136872172	1
1490727131	4
1457439609	1
2093591580	1
792807727	4
1045272845	1
919644988	2
-844622456	10
2057935551	3
162149751	5
-1266085959	8
-334440814	1
1473538799	24
1146842977	1
2083304195	1
-970285155	9
-360613088	21
-847329181	1
834348097	1
-847571069	1
642320822	27
-1049867018	37
-323616680	1
518698407	4
429565982	4
1186446483	4
-691433457	1
-792397947	26
419165339	5
575897004	12
-724730141	1
1259149789	9
2121546200	1
1491222497	12
-881257706	7
406738670	4
171643236	4
-2081740295	1
1497571257	1
831566260	80
-1048719944	1
-1343681678	18
-1913621226	4
202074544	2
-634516743	5
353244736	1
-104246595	6
-1812145789	1
-1656321022	5
1887065996	1
1622384946	4
-1381124700	1
-186480395	5
-956811821	1
-7215794	1
1440884411	2
1782677065	1
-136663935	4
-383774609	3
1729130822	4
-610305485	13
-1661412100	2
780202303	34
-926398082	3
1672389029	1
-225518482	2
-1526385068	8
981113123	2
-572527584	1
1432600484	1
-2141303279	2
-676921700	1
1635098087	8
1082846504	2
261536230	3
1293731301	6
271844732	6
-260200174	8
755234016	1
533566434	1
-790710576	1
-1494849078	32
1760412790	1
-458674252	2
-1500625176	2
1764690613	36
687391570	2
-1514275629	1
-362435283	2
-910008359	1
2100143638	2
-487334600	7
883635888	9
2104356641	1
-23056271	8
2115363423	22
427423352	1
-516637860	12
1840072853	2
-1655637639	3
2034686613	3
-309374540	9
1719871111	11
967718884	65
318391190	1
-1356095865	1
1126958372	241
-462027918	1
1856255998	1
-671257781	8
-583713588	4
1112377627	6
-499801096	1
1492232987	2
614135207	66
-212279142	8
-1289381744	3
-536752688	13
719281982	21
-1986536162	2
194233496	3
576305547	1
-420031748	1
1320328610	1
1282155612	6
1573770950	5
-2146738652	5
-161907616	1
-607275562	4
27258419	1
624050678	2
-1159970414	9
-2080777361	3
-618256556	10
-1657561259	2
-828352016	73
747352107	10
370539965	8
606954103	15
1042364981	1
-2000968602	33
-734246560	29
-1221567998	2
1124851405	11
82295053	6
-975198402	12
1028903629	22
348986329	2
-146763680	18
-136776721	2
-1445971293	1
-306552139	1
352204150	1
-974905121	21
-959477812	4
754526604	17
-295078995	35
-222451432	13
999959303	28
614538527	66
-70785454	1
-927110040	1
760463095	3
608761678	1
1369057008	1
-58679840	2
1900638716	2
-1951311824	2
1006877401	1
-2004274464	1
1513393959	1
-894569558	3
-1681411331	98
453940695	12
781364510	3
-1162952630	5
1522276623	1
418939538	5
1699721243	5
-508292496	6
-1830792302	5
-973461166	3
315770154	1
375224426	4
-1024024188	3
-1108023872	212
1621259984	4
1134975010	2
-1755812566	4
-181273201	1
258985398	23
1665612616	1
-1650050675	5
-2135320152	1
355231967	98
662210952	7
8060398	1
428476407	39
-1474311668	1
-1539285404	1
-356135422	4
235223893	26
-1426492730	1
-28977695	4
-1150561461	2
-75301983	2
628516737	8
-183953422	4
-1136339306	2
-577227307	1
1047228916	1
1579219050	4
-40179203	3
1623300592	2
-136171976	3
-771051487	2
1068048383	13
-1900906635	2
777708610	1
-1302217566	1
309919725	3
-1812434521	1
-714644563	1
1105242439	1
-1325620661	1
-428248948	1
-1179021596	4
-463731665	3
-1503236085	2
-1975926265	1
54977070	1
-1245308185	58
635399683	3
-1670733861	2
1195073370	16
1183389720	3
-102839354	6
-236610956	1
-1302106647	1
-1051779381	2
-1385820281	2
317899518	1
-568907029	4
642540831	5
676846891	8
-270029711	6
-806445623	1
-887462623	10
-2108690244	22
1519308384	3
400043129	7
822432797	6
1422645205	8
-1033124949	5
-1744971972	7
1235120801	1
-561428557	1
-1797977967	7
-103723325	173
-1312105233	2
1167652559	12
1884788235	5
1728528838	15
-1040854430	5
-711347362	1
-666753292	30
-787323285	6
703915538	4
-885736535	1
-670249306	25
-50612706	1
1672738248	9
1590172675	10
2123228966	11
148847731	7
2126855397	39
-651244432	24
-1577728594	6
302086583	1
-198376024	2
-1420707328	4
1803643993	1
180763239	1
-2123816385	1
-1398576754	1
-1766732098	1
-664683420	1
1994733175	1
95829773	5
-314255651	4
-2119174171	30
-1294972770	3
-2124360306	4
-269050972	2
-489757253	1
-203108176	10
136941719	2
1510615296	99
1696850632	1
-1067257971	3
1954474787	1
167345832	4
-1405285526	1
33799240	1
-208672760	3
1477663387	1
769256084	1
1084215169	3
1454184904	1
68743189	1
945362103	58
63296207	15
1235376183	13
-900563065	7
2056588620	2
-1079862505	1
1062682005	3
1270941974	26
660451925	1
2042410252	5
1713762949	4
742041677	1
1702475939	1
1095161709	2
1279122921	6
-461119604	7
37566818	23
1999525207	1
-559448270	2
-173020888	3
-744188216	1
426619312	2
1522425890	10
-1037909716	6
-1182616260	2
-1171396751	1
-360570748	1
-1313294087	2
-736330487	2
1911522058	1
-146209446	1
413577455	20
337977102	6
1611850488	1
1357928972	2
1683375323	13
-1251624810	1
-491196387	3
1252623536	1
1395489208	1
-1498226354	4
-1468504274	3
-733010752	3
701678462	10
451518446	2
-548630904	6
-1498726441	489
199024953	3
584801288	53
730581727	1
-1546030533	2
1061885214	22
2104475626	6
-1694502734	10
-349530000	13
-1533467730	1
-1866148274	6
1386662025	33
1508753105	5
647833684	1
310811308	1
-848064957	1
-1669940054	50
1417021179	72
940528951	1
1722149611	65
1353388974	3
935469683	6
-443786924	1
1567294670	1006
1773494700	32
609176123	1
-279650349	1
-748752265	45
1749181539	3
-677573356	3
2101274557	1
-584040544	1
